system:index,availability_status,figure_id,is_valid_month,month,month_of_year,pollutant,processing_branch,support_count_mean,support_count_median,support_count_p10,support_count_p90,system_time_start,temporal_support_fraction_mean,temporal_support_mode,valid_area_percent,year,.geo
1_1_1_1_2_0000000000000000000d,VALID,FIG_7,1,2020-05,5,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,17.978254566541025,18.0,16.0,20.0,1588291200000,,VALID_ORBITAL_OBSERVATIONS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000e,VALID,FIG_7,1,2020-05,5,CO,CO_DAILY_FIRST,12.781040219055468,13.0,10.0,15.000000000000004,1588291200000,0.41229160804577464,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000011,VALID,FIG_7,1,2020-06,6,CO,CO_DAILY_FIRST,23.830121599340476,23.999999999999993,22.000000000000004,24.99999999999999,1590969600000,0.7943373840706304,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000f,VALID,FIG_7,1,2020-06,6,NO2,NO2_DAILY_FIRST_LEVEL1,16.96843716876693,16.999999999999993,14.999999999999995,19.000000000000004,1590969600000,0.5656145810618068,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000010,VALID,FIG_7,1,2020-06,6,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,31.957089011307623,32.0,29.0,34.0,1590969600000,,VALID_ORBITAL_OBSERVATIONS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000014,VALID,FIG_7,1,2020-07,7,CO,CO_DAILY_FIRST,26.746731833706278,27.000000000000014,25.999999999999996,28.00000000000001,1593561600000,0.8627977915386357,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000012,VALID,FIG_7,1,2020-07,7,NO2,NO2_DAILY_FIRST_LEVEL1,21.938640913908824,21.999999999999993,20.0,24.0,1593561600000,0.7076980893304586,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000013,VALID,FIG_7,1,2020-07,7,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,33.809220063786604,34.0,31.0,35.0,1593561600000,,VALID_ORBITAL_OBSERVATIONS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000016,VALID,FIG_7,1,2020-08,8,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,31.13975065236301,31.0,30.0,33.0,1596240000000,,VALID_ORBITAL_OBSERVATIONS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000017,VALID,FIG_7,1,2020-08,8,CO,CO_DAILY_FIRST,26.905488163938283,27.000000000000004,24.999999999999993,27.999999999999993,1596240000000,0.8679189638010594,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000015,VALID,FIG_7,1,2020-08,8,NO2,NO2_DAILY_FIRST_LEVEL1,22.636431221293137,22.999999999999993,21.000000000000004,24.0,1596240000000,0.7302074511678601,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000018,VALID,FIG_7,1,2020-09,9,NO2,NO2_DAILY_FIRST_LEVEL1,24.86180956306679,25.0,24.000000000000004,25.0,1598918400000,0.8287269708570721,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000019,VALID,FIG_7,1,2020-09,9,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,35.44041751232241,36.0,34.0,36.0,1598918400000,,VALID_ORBITAL_OBSERVATIONS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001a,VALID,FIG_7,1,2020-09,9,CO,CO_DAILY_FIRST,24.26405164291602,23.999999999999996,23.000000000000004,25.999999999999996,1598918400000,0.808801718768267,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001d,VALID,FIG_7,1,2020-10,10,CO,CO_DAILY_FIRST,14.572186727122828,14.999999999999991,11.999999999999998,17.000000000000004,1601510400000,0.4700705282806475,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
