system:index,AOI_max_mol_m2,AOI_mean_mol_m2,AOI_median_mol_m2,AOI_min_mol_m2,AOI_p90_mol_m2,AOI_reduction_sample_count,aoi_id,availability_status,is_valid_month,month,month_end_exclusive,month_of_year,month_start,pollutant,pollutant_long_name,system_time_start,unit,valid_area_fraction,valid_area_km2,valid_area_m2,valid_area_percent,year,.geo
1_1_1_1_1_00000000000000000022,,,,,,0,AOI_KRYVYI_RIH,NA_NO_VALID_FINAL_RASTER_DATA,0,2019-12,2020-01-01,12,2019-12-01,SO2,Sulfur dioxide column number density,1575158400000,mol/m2,0.0,0.0,0.0,0.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000000,5.1500457630027086E-5,3.7349850181888334E-5,3.6637833049786774E-5,2.3770498955855146E-5,4.653412476388638E-5,698,AOI_KRYVYI_RIH,VALID,1,2020-01,2020-02-01,1,2020-01-01,NO2,Tropospheric nitrogen dioxide column number density,1577836800000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000001,,,,,,0,AOI_KRYVYI_RIH,NA_NO_VALID_FINAL_RASTER_DATA,0,2020-01,2020-02-01,1,2020-01-01,SO2,Sulfur dioxide column number density,1577836800000,mol/m2,0.0,0.0,0.0,0.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000002,0.03698418289422989,0.03592279447568816,0.035877373069524765,0.0352446511387825,0.03645262494683266,698,AOI_KRYVYI_RIH,VALID,1,2020-01,2020-02-01,1,2020-01-01,CO,Carbon monoxide column number density,1577836800000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000005,0.03901602327823639,0.03768051721144893,0.037652780366667624,0.0365392230451107,0.03841267856899822,698,AOI_KRYVYI_RIH,VALID,1,2020-02,2020-03-01,2,2020-02-01,CO,Carbon monoxide column number density,1580515200000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000004,0.0017679393058642745,7.171281023527446E-4,6.3992606010288E-4,-2.7681057690642774E-4,0.0016325846081599593,33,AOI_KRYVYI_RIH,VALID,1,2020-02,2020-03-01,2,2020-02-01,SO2,Sulfur dioxide column number density,1580515200000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000003,5.531581336981617E-5,4.1246942143446366E-5,4.11937632440924E-5,2.7763608159148134E-5,4.762840256551474E-5,698,AOI_KRYVYI_RIH,VALID,1,2020-02,2020-03-01,2,2020-02-01,NO2,Tropospheric nitrogen dioxide column number density,1580515200000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000008,0.0397799126803875,0.03839871206657222,0.03841272658629084,0.036982953548431396,0.03890277764521109,698,AOI_KRYVYI_RIH,VALID,1,2020-03,2020-04-01,3,2020-03-01,CO,Carbon monoxide column number density,1583020800000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000007,0.0010169430170208216,6.879884405366733E-4,6.615886813960969E-4,3.443014866206795E-4,9.592019487172365E-4,33,AOI_KRYVYI_RIH,VALID,1,2020-03,2020-04-01,3,2020-03-01,SO2,Sulfur dioxide column number density,1583020800000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000006,5.3109662985662E-5,4.235573478419223E-5,4.1776975194807164E-5,2.6783760404214263E-5,4.963094906997867E-5,698,AOI_KRYVYI_RIH,VALID,1,2020-03,2020-04-01,3,2020-03-01,NO2,Tropospheric nitrogen dioxide column number density,1583020800000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000009,4.8961181164486334E-5,3.50790380364593E-5,3.526362611810991E-5,2.2324431483866647E-5,4.168220766587183E-5,698,AOI_KRYVYI_RIH,VALID,1,2020-04,2020-05-01,4,2020-04-01,NO2,Tropospheric nitrogen dioxide column number density,1585699200000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000a,4.4381036423146725E-4,2.325757689977637E-4,2.122878358932212E-4,1.2060422159265727E-4,3.1407075584866107E-4,33,AOI_KRYVYI_RIH,VALID,1,2020-04,2020-05-01,4,2020-04-01,SO2,Sulfur dioxide column number density,1585699200000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000b,0.04193563014268875,0.03967052128644946,0.0396808159530611,0.038236990571022034,0.040307928548222446,698,AOI_KRYVYI_RIH,VALID,1,2020-04,2020-05-01,4,2020-04-01,CO,Carbon monoxide column number density,1585699200000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000c,4.4163072743685916E-5,2.9503218090466803E-5,3.000654001747224E-5,1.601981421117671E-5,3.52160437614657E-5,698,AOI_KRYVYI_RIH,VALID,1,2020-05,2020-06-01,5,2020-05-01,NO2,Tropospheric nitrogen dioxide column number density,1588291200000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000d,3.6894335062243044E-4,1.236085230188166E-4,7.659057882847264E-5,-5.6931821745820343E-5,2.889933530241251E-4,33,AOI_KRYVYI_RIH,VALID,1,2020-05,2020-06-01,5,2020-05-01,SO2,Sulfur dioxide column number density,1588291200000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000e,0.0370388925075531,0.03512140405222296,0.03511784774164201,0.033725909888744354,0.0357293700799346,698,AOI_KRYVYI_RIH,VALID,1,2020-05,2020-06-01,5,2020-05-01,CO,Carbon monoxide column number density,1588291200000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000011,0.03292150795459747,0.03172490114658525,0.031720618903636935,0.03041999042034149,0.03218903538755365,698,AOI_KRYVYI_RIH,VALID,1,2020-06,2020-07-01,6,2020-06-01,CO,Carbon monoxide column number density,1590969600000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000000f,5.174566831556149E-5,3.3806331909076024E-5,3.179150086028063E-5,2.1326655769371428E-5,4.5391666935756804E-5,698,AOI_KRYVYI_RIH,VALID,1,2020-06,2020-07-01,6,2020-06-01,NO2,Tropospheric nitrogen dioxide column number density,1590969600000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000010,2.605280315037817E-4,6.451201608027946E-5,6.477110582636669E-5,-4.600784814101644E-5,1.3844984641764313E-4,33,AOI_KRYVYI_RIH,VALID,1,2020-06,2020-07-01,6,2020-06-01,SO2,Sulfur dioxide column number density,1590969600000,mol/m2,1.0,441.48740460163515,4.4148740460163516E8,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
