system:index,AOI_mean_mol_m2,AOI_median_mol_m2,AOI_p90_mol_m2,availability_status,figure_id,is_valid_month,month,month_of_year,month_start,pollutant,pollutant_long_name,system_time_start,unit,valid_area_percent,year,.geo
1_1_1_1_2_00000000000000000018,4.4865740519339904E-5,4.254874036856619E-5,5.705733322732461E-5,VALID,FIG_3,1,2020-09,9,2020-09-01,NO2,Tropospheric nitrogen dioxide column number density,1598918400000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000019,2.4168704948132532E-4,2.620009472593665E-4,3.795925003942102E-4,VALID,FIG_3,1,2020-09,9,2020-09-01,SO2,Sulfur dioxide column number density,1598918400000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001a,0.03476821849504451,0.034441328950618445,0.03654646744473359,VALID,FIG_3,1,2020-09,9,2020-09-01,CO,Carbon monoxide column number density,1598918400000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001d,0.03402850749791537,0.03401952090247694,0.03484520564476649,VALID,FIG_3,1,2020-10,10,2020-10-01,CO,Carbon monoxide column number density,1601510400000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001c,3.7749218470246014E-4,3.668353892862797E-4,5.457665538415313E-4,VALID,FIG_3,1,2020-10,10,2020-10-01,SO2,Sulfur dioxide column number density,1601510400000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001b,4.5845819482988784E-5,4.488629193817876E-5,5.323129638175791E-5,VALID,FIG_3,1,2020-10,10,2020-10-01,NO2,Tropospheric nitrogen dioxide column number density,1601510400000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001e,5.0794283899872403E-5,4.923784654238261E-5,6.239000746669869E-5,VALID,FIG_3,1,2020-11,11,2020-11-01,NO2,Tropospheric nitrogen dioxide column number density,1604188800000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000020,0.034428331516005266,0.03438489660961417,0.03493164794198399,VALID,FIG_3,1,2020-11,11,2020-11-01,CO,Carbon monoxide column number density,1604188800000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001f,,,,NA_NO_VALID_FINAL_RASTER_DATA,FIG_3,0,2020-11,11,2020-11-01,SO2,Sulfur dioxide column number density,1604188800000,mol/m2,0.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000021,5.121228368523234E-5,4.9993795723905055E-5,6.824817804348034E-5,VALID,FIG_3,1,2020-12,12,2020-12-01,NO2,Tropospheric nitrogen dioxide column number density,1606780800000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000023,0.03595206035221457,0.03600070773432003,0.03638710528793564,VALID,FIG_3,1,2020-12,12,2020-12-01,CO,Carbon monoxide column number density,1606780800000,mol/m2,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000022,,,,NA_NO_VALID_FINAL_RASTER_DATA,FIG_3,0,2020-12,12,2020-12-01,SO2,Sulfur dioxide column number density,1606780800000,mol/m2,0.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000000,5.071958208483425E-5,4.8361948148752484E-5,6.840160313004162E-5,VALID,FIG_3,1,2021-01,1,2021-01-01,NO2,Tropospheric nitrogen dioxide column number density,1609459200000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000001,,,,NA_NO_VALID_FINAL_RASTER_DATA,FIG_3,0,2021-01,1,2021-01-01,SO2,Sulfur dioxide column number density,1609459200000,mol/m2,0.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000002,0.039780377696571306,0.03980872002156342,0.04087243668857168,VALID,FIG_3,1,2021-01,1,2021-01-01,CO,Carbon monoxide column number density,1609459200000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000003,3.896717038859246E-5,3.681965809461897E-5,6.497492758302298E-5,VALID,FIG_3,1,2021-02,2,2021-02-01,NO2,Tropospheric nitrogen dioxide column number density,1612137600000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000005,0.038654579167673175,0.038656389885681104,0.03953981746693584,VALID,FIG_3,1,2021-02,2,2021-02-01,CO,Carbon monoxide column number density,1612137600000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000004,0.0011723290036591957,9.079534793272614E-4,0.0025979923084378242,VALID,FIG_3,1,2021-02,2,2021-02-01,SO2,Sulfur dioxide column number density,1612137600000,mol/m2,96.09666413359452,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000008,0.04065289051011915,0.04073415391993119,0.04129807775219282,VALID,FIG_3,1,2021-03,3,2021-03-01,CO,Carbon monoxide column number density,1614556800000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000006,4.282185379967931E-5,4.217572558354847E-5,6.220110662980005E-5,VALID,FIG_3,1,2021-03,3,2021-03-01,NO2,Tropospheric nitrogen dioxide column number density,1614556800000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000007,3.6039930578169935E-4,3.937073051929474E-4,7.420486654154956E-4,VALID,FIG_3,1,2021-03,3,2021-03-01,SO2,Sulfur dioxide column number density,1614556800000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000009,4.8030329229948086E-5,4.186288956849333E-5,7.070853928436334E-5,VALID,FIG_3,1,2021-04,4,2021-04-01,NO2,Tropospheric nitrogen dioxide column number density,1617235200000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000b,0.03877257930168937,0.038841766742975785,0.03938777119635719,VALID,FIG_3,1,2021-04,4,2021-04-01,CO,Carbon monoxide column number density,1617235200000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000a,1.917871359979123E-4,1.7453441978432238E-4,4.35656780609861E-4,VALID,FIG_3,1,2021-04,4,2021-04-01,SO2,Sulfur dioxide column number density,1617235200000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000c,3.5716729769366364E-5,3.583053272494478E-5,4.383407437145092E-5,VALID,FIG_3,1,2021-05,5,2021-05-01,NO2,Tropospheric nitrogen dioxide column number density,1619827200000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000d,7.434849731771029E-5,7.338948489632457E-5,1.8811634799931198E-4,VALID,FIG_3,1,2021-05,5,2021-05-01,SO2,Sulfur dioxide column number density,1619827200000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000e,0.033870999151066436,0.03388154129477548,0.034556888879163146,VALID,FIG_3,1,2021-05,5,2021-05-01,CO,Carbon monoxide column number density,1619827200000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000010,1.2343597972241873E-4,1.0388684313511476E-4,2.2575363982468843E-4,VALID,FIG_3,1,2021-06,6,2021-06-01,SO2,Sulfur dioxide column number density,1622505600000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000011,0.030888257169229077,0.03081533764917348,0.03221943750977516,VALID,FIG_3,1,2021-06,6,2021-06-01,CO,Carbon monoxide column number density,1622505600000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000f,3.300108344605051E-5,3.1309266150604635E-5,4.4303811591817066E-5,VALID,FIG_3,1,2021-06,6,2021-06-01,NO2,Tropospheric nitrogen dioxide column number density,1622505600000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000013,6.244689727560163E-5,7.349076622631401E-5,1.3636937364935875E-4,VALID,FIG_3,1,2021-07,7,2021-07-01,SO2,Sulfur dioxide column number density,1625097600000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000012,4.6211417613611764E-5,4.3561678467085585E-5,6.641523456589009E-5,VALID,FIG_3,1,2021-07,7,2021-07-01,NO2,Tropospheric nitrogen dioxide column number density,1625097600000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000014,0.03529530608563798,0.03480399081469215,0.037184615601908486,VALID,FIG_3,1,2021-07,7,2021-07-01,CO,Carbon monoxide column number density,1625097600000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000016,6.193199844140489E-5,8.137329132296145E-5,1.326233468716964E-4,VALID,FIG_3,1,2021-08,8,2021-08-01,SO2,Sulfur dioxide column number density,1627776000000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000015,3.55714742906936E-5,3.317509799671825E-5,4.749441080871064E-5,VALID,FIG_3,1,2021-08,8,2021-08-01,NO2,Tropospheric nitrogen dioxide column number density,1627776000000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000017,0.04135970724327044,0.041174518380250165,0.04241415684226304,VALID,FIG_3,1,2021-08,8,2021-08-01,CO,Carbon monoxide column number density,1627776000000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000001a,0.03933721107594516,0.03879510411676371,0.04144937824457884,VALID,FIG_3,1,2021-09,9,2021-09-01,CO,Carbon monoxide column number density,1630454400000,mol/m2,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
